"filename", "language", "JSON", "XML", "Swift", "C++", "Dart", "YAML", "Markdown", "HTML", "JavaScript", "Properties", "Groovy", "comment", "blank", "total"
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/authentication/authentication_state.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_bloc.dart", "Dart", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 10, 122
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_event.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_state.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/login/login_bloc.dart", "Dart", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 9, 69
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/login/login_event.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/login/login_state.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 9, 25
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/message/message_bloc.dart", "Dart", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 8, 89
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/message/message_event.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/message/message_state.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/post/post_bloc.dart", "Dart", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 9, 112
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/post/post_event.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/post/post_state.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/theme/theme_bloc.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/theme/theme_event.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/theme/theme_state.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/database_constants.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/dependency_injection.dart", "Dart", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 5, 3, 97
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/design_constants.dart", "Dart", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 10, 1, 187
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/exception_constants.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/game_constants.dart", "Dart", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 19, 3, 107
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/message_case.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/screen_size_confg.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
